Name,Review stars,Brand,Price,Capacity(Kg),Access Location
Havells-Lloyd 7.0 kg Fully Automatic Front Load Washing Machine (GLWMF70WC1 White),5.0,Lloyd,27990,7,Front Load
"LG AI Direct Drive Front Load Washer with Steam & TurboWash, FHV1409ZWP, 9.0Kg",4.4,LG,40980,9,Front Load
"Amazon Basics 7 Kg Fully Automatic Front Loading Washing Machine (White, Steam Wash, Built-in Heater)",3.2,AmazonBasics,22990,7,Front Load
"Panasonic 7 Kg Wifi Built-In Heater Fully-Automatic Top Loading Smart Washing Machine (NA-F70AH10MB, Middle Free Silver, Works with Alexa)",4.0,Panasonic,22790,7,Top Load
"Foxsky 7.6 kg Semi-Automatic Top Loading Washing Machine (FOXSKY AQUA WASH 7.6 KG, MAROON)",3.8,Foxsky,9100,7.6,Top Load
BIGGTOY Mini Foldable Washing Machine | Undergarments and use in Travel Also | Ultrasonic Cleaning Machine | Small Automatic Portable Underwear Folding 2Kg Washing Machine [Multicolor],5.0,BIGGTOY,4399,2,Top Load
"Panasonic 8 Kg Wifi  Fully-Automatic Top Loading Smart Washing Machine (NA-F80A10CRB, Charcoal Inox Grey, Compatible with Alexa)",4.3,Panasonic,23490,8,Top Load
"Panasonic 8 Kg Wifi Built-In Heater Fully-Automatic Top Loading Smart Washing Machine (NA-F80V10SRB, Stainless Steel, Compatible with Alexa)",4.0,Panasonic,28690,8,Top Load
PPJ ®- Portable Handy Bucket Washing Machine/Mini Washing Machine with 350 Watt - Nylon Belt Model Capacity 2 Kilograms (Pack of 1),3.6,PPJ,2349,2,Front Load
"Haier Fully Automatic Washing Machine with Inverter Motor, Super Drum, Dual Spray (HW80-IM12929C, Ice White)",5.0,Haier,35690,8,Front Load
"Panasonic 7.5 Kg Wifi  Fully-Automatic Top Loading Smart Washing Machine (NA-F75A10MRB, Middle Free Silver, Compatible with Alexa)",4.4,Panasonic,21990,7.5,Top Load
"Samsung 9 Kg 5 Star Wi-Fi Inverter Fully-Automatic Front Loading Washing Machine (WW90T604DLN1TL, Inox, In-Built Heater)",3.6,Samsung,45000,9,Front Load
"Whirlpool 8.5 kg 5 Star Semi-Automatic Top Loading Washing Machine (ACE 8.5 TRB DRY GREY DAZZLE (10YR)-N, Grey Dazzle, 2x Drying Power)",4.4,Whirlpool,13590,8.5,Top Load
"Panasonic 7 Kg Wifi  Fully-Automatic Top Loading Smart Washing Machine (NA-F70A10LRB, Silver, Compatible with Alexa)",1.0,Panasonic,21990,7,Top Load
BIGGTOY Mini Foldable Washing Machine | Undergarments and use in Travel Also | Ultrasonic Cleaning Machine | Small Automatic Portable Underwear Folding 2Kg Washing Machine [Multicolor],5.0,BIGGTOY,4399,2,Top Load
"IFB 7 Kg Fully-Automatic Front Loading Washing Machine (NEO DIVA WS, White,In-Built Heater, 3D Wash Technology)",4.1,IFB,29990,7,Front Load
"Oracus 7.2 Kg Fully-Automatic Top-Loading Washing Machine (OWTL72GR, Grey, Active+)",3.8,Oracus,13699,7.2,Top Load
"Samsung 9 Kg 5 Star Wi-Fi Inverter Fully-Automatic Front Loading Washing Machine (WW90T604DLN1TL, Inox, In-Built Heater)",3.6,Samsung,45000,9,Front Load
"Whirlpool 7.5 kg 5 Star Inverter Fully-Automatic Top Loading Washing Machine with In-Built Heater, (360 Bloomwash PRO INV 7.5 Heater Cool Illusia) (31509)",3.6,Whirlpool,27990,7.5,Top Load
"Hafele MARINA 6010 W, 6kg Fully-Automatic Front Loading Washing Machine with In-Built Heater, Anti Allergenic Programme, 15 Smart Wash Programs, 1000RPM Spin Speed, White (Marina 6010W)",3.9,Hafele,20990,6,Front Load
"IFB 8 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (SENATOR SXS 8012, Silver, Active Color Protection, Hard Water Wash)",4.5,IFB,36090,8,Front Load
"Panasonic 7.5 Kg Wifi Built-In Heater Fully-Automatic Top Loading Smart Washing Machine (NA-F75V10LRB, Silver, Compatible with Alexa)",4.4,Panasonic,26490,7.5,Top Load
"Panasonic 7.5 Kg Wifi Built-In Heater Fully-Automatic Top Loading Smart Washing Machine (NA-F75V10LRB, Silver, Compatible with Alexa)",4.4,Panasonic,26490,7.5,Top Load
"Panasonic 8 Kg Wifi Built-In Heater Fully-Automatic Top Loading Smart Washing Machine (NA-F80V10SRB, Stainless Steel, Compatible with Alexa)",4.0,Panasonic,28690,8,Top Load
"Whirlpool 8 kg Inverter Fully Automatic Front Load Washing Machine (Fresh Care 8212, White, Inbuilt Heater)",3.6,Whirlpool,30990,8,Front Load
